trackname,artists
Banks - Warm Water (Snakehips Remix),SNAKEHIPS
Make It,SNAKEHIPS
On & On (Kaytranada Remix),SNAKEHIPS
On & On (Snakehips Edit),SNAKEHIPS
Bondax - Gold (Snakehips Bootleg),SNAKEHIPS
Alina Baraz - Paradise (Prod. By esta),esta.
Esta. - Lexo,Play Nice
Sango & Waldo - Crossroads (Feat. SPZRKT),Sángo
Tinashe - Vulnerable (Sango Remix),Sángo
Sango - 206,Sángo
001 - ESTA x Michael Salisbury,Create & Explore
Sango & Waldo - YU,AGO Music
Sango & Waldo - Happiest Hour/ Saddest Hour,WALĐO
Sango & Waldo - SNS,WALĐO
Sango & Waldo - Rushed Perfection,AGO Music
S-Curve (prod. The SEVENth & Sango),THE SEVENth
Sango - Deixe-me,Sángo
Icebox 2.0 (Omarion X Craig David),Sángo
Vai Vai,Sángo
Sango - Vem Vem (FREE DL),SOULECTION
Erykah Badu - Love Of My Life (Kaytranada Remix),"""KKAAYYTTRRAA"""
k-os - Crucial (Kaytranada Remix),"""KKAAYYTTRRAA"""
Kaytradamus & Sango - Voices From Heaven,"""KKAAYYTTRRAA"""
Missy Elliott - Sock It 2 Me (Kaytranada Remix),"""KKAAYYTTRRAA"""
Portico Quartet - Steepless (Kaytranada Remix),"""KKAAYYTTRRAA"""
Summer Sadness,"""KKAAYYTTRRAA"""
Nevalie,"""KKAAYYTTRRAA"""
Nelly Furtado - Say It Right (Kaytradamus Remix),"""KKAAYYTTRRAA"""
Danny Brown - Lie4 (Kaytranada Remix),"""KKAAYYTTRRAA"""
KAYTRANADA - Holy Hole Inna Donut,HW&W Recordings
KAYTRANADA - Jupiter,HW&W Recordings
Banks - Waiting Game (Kaytranada Edition),BANKS.
Jill Scott - Its Love (KAYTRANADA Edition),HW&W Recordings
Janet Jackson - If (Kaytranada Remix),"""KKAAYYTTRRAA"""
The Weeknd - Or Nah (Stwo Edit),stwo
Quiet Life,stwo
Stwo - Syrup,HW&W Recordings
Cashmere Cat - With Me (Stwo Edit),stwo
BASECAMP - Emmanuel (Stwo Remix),stwo
JMSN - The One (Stwo Remix),stwo
Virgo feat. Shay Lia,stwo
Know,stwo
Cryin,stwo
Lust,stwo
Stwo - Lovin U,LFTF
Stwo - Work,LFTF
Stwo - Anna,LFTF
Stwo - Wifey (Instrumental),LFTF
Stwo - One (Andrea Remix),LFTF
Tory Lanez - R.I.D.E. (Falcons Remix),FALCONS
PARTYNEXTDOOR - Persian Rugs (Falcons remix),FALCONS
Brenmar - Medusa Feat. Rush Davis (Falcons Remix),BRENMAR
Falcons - 2me,HW&W Recordings
Falcons - Cell,HW&W Recordings
Soulection Radio Show #179,SOULECTION
Jeremih - Fuck U All The Time (Shlohmo Remix),shlohmo
Brain,BANKS.
"Ab-Soul ""To The Max"" ( Prod. By Statik Selektah)",Statik Selektah
Zikomo x Esta - ZikomoEstas,Zikomo
Two In A Millie,TEK.LUN
Your Flaws,MadBliss
Rvdical The Kid - Tokyo,RVDICAL THE KID
Time Machine - The Way Things Are,djmekalek
Brown Lotus - Get Lost Now,ill Gibran
El Blanco Nino x DISFNK - Savages,EL BLANCO NINO
LeDouix - Me & You,LeDouix
