trackname,artists,name_of_playlist
Banks - Warm Water (Snakehips Remix),SNAKEHIPS,1_a
Make It,SNAKEHIPS,1_a
On & On (Kaytranada Remix),SNAKEHIPS,1_a
On & On (Snakehips Edit),SNAKEHIPS,1_a
Bondax - Gold (Snakehips Bootleg),SNAKEHIPS,1_a
Alina Baraz - Paradise (Prod. By esta),esta.,1_a
Esta. - Lexo,Play Nice,1_a
Sango & Waldo - Crossroads (Feat. SPZRKT),Sángo,1_a
Tinashe - Vulnerable (Sango Remix),Sángo,1_a
Sango - 206,Sángo,1_a
001 - ESTA x Michael Salisbury,Create & Explore,1_a
Sango & Waldo - YU,AGO Music,1_a
Sango & Waldo - Happiest Hour/ Saddest Hour,WALĐO,1_a
Sango & Waldo - SNS,WALĐO,1_a
Sango & Waldo - Rushed Perfection,AGO Music,1_a
S-Curve (prod. The SEVENth & Sango),THE SEVENth,1_a
Sango - Deixe-me,Sángo,1_a
Icebox 2.0 (Omarion X Craig David),Sángo,1_a
Vai Vai,Sángo,1_a
Sango - Vem Vem (FREE DL),SOULECTION,1_a
Erykah Badu - Love Of My Life (Kaytranada Remix),"""KKAAYYTTRRAA""",1_a
k-os - Crucial (Kaytranada Remix),"""KKAAYYTTRRAA""",1_a
Kaytradamus & Sango - Voices From Heaven,"""KKAAYYTTRRAA""",1_a
Missy Elliott - Sock It 2 Me (Kaytranada Remix),"""KKAAYYTTRRAA""",1_a
Portico Quartet - Steepless (Kaytranada Remix),"""KKAAYYTTRRAA""",1_a
Summer Sadness,"""KKAAYYTTRRAA""",1_a
Nevalie,"""KKAAYYTTRRAA""",1_a
Nelly Furtado - Say It Right (Kaytradamus Remix),"""KKAAYYTTRRAA""",1_a
Danny Brown - Lie4 (Kaytranada Remix),"""KKAAYYTTRRAA""",1_a
KAYTRANADA - Holy Hole Inna Donut,HW&W Recordings,1_a
KAYTRANADA - Jupiter,HW&W Recordings,1_a
Banks - Waiting Game (Kaytranada Edition),BANKS.,1_a
Jill Scott - Its Love (KAYTRANADA Edition),HW&W Recordings,1_a
Janet Jackson - If (Kaytranada Remix),"""KKAAYYTTRRAA""",1_a
The Weeknd - Or Nah (Stwo Edit),stwo,1_a
Quiet Life,stwo,1_a
Stwo - Syrup,HW&W Recordings,1_a
Cashmere Cat - With Me (Stwo Edit),stwo,1_a
BASECAMP - Emmanuel (Stwo Remix),stwo,1_a
JMSN - The One (Stwo Remix),stwo,1_a
Virgo feat. Shay Lia,stwo,1_a
Know,stwo,1_a
Cryin,stwo,1_a
Lust,stwo,1_a
Stwo - Lovin U,LFTF,1_a
Stwo - Work,LFTF,1_a
Stwo - Anna,LFTF,1_a
Stwo - Wifey (Instrumental),LFTF,1_a
Stwo - One (Andrea Remix),LFTF,1_a
Tory Lanez - R.I.D.E. (Falcons Remix),FALCONS,1_a
PARTYNEXTDOOR - Persian Rugs (Falcons remix),FALCONS,1_a
Brenmar - Medusa Feat. Rush Davis (Falcons Remix),BRENMAR,1_a
Falcons - 2me,HW&W Recordings,1_a
Falcons - Cell,HW&W Recordings,1_a
Soulection Radio Show #179,SOULECTION,1_a
Jeremih - Fuck U All The Time (Shlohmo Remix),shlohmo,1_a
Brain,BANKS.,1_a
"Ab-Soul ""To The Max"" ( Prod. By Statik Selektah)",Statik Selektah,1_a
Zikomo x Esta - ZikomoEstas,Zikomo,1_a
Two In A Millie,TEK.LUN,1_a
Your Flaws,MadBliss,1_a
Rvdical The Kid - Tokyo,RVDICAL THE KID,1_a
Time Machine - The Way Things Are,djmekalek,1_a
Brown Lotus - Get Lost Now,ill Gibran,1_a
El Blanco Nino x DISFNK - Savages,EL BLANCO NINO,1_a
LeDouix - Me & You,LeDouix,1_a
Stwo - Morphans,HW&W Recordings,1_a
early[wakeup] {rough},RND1,1_a
brew,miska,1_a
Suicidal Thoughts,omokage,1_a
oneweek[HAWT],pax,1_a
tkdwn. x [ bsd.u ] - within,[ bsd.u ],1_a
caught in the rain,[ bsd.u ],1_a
.,[ monk. ],1_a
.,[ monk. ],1_a
HEAVEN SENT FT. ZACARI,J-Louis,1_a
ELHAE - SAM ( J-LOUIS REMIX ),J-Louis,1_a
High Land ( J-LOUIS ),J-Louis,1_a
Soulection Radio Show #200 (Celebration of Life),SOULECTION,1_a
J-Louis - Can't You See,SOULECTION,1_a
Yoko,Jay Prince,1_a
I'm Good,Jay Prince,1_a
Polaroids,Jay Prince,1_a
Cruisin,Jay Prince,1_a
1993 (Feat. Richie Saps),Jay Prince,1_a
Feel It,Jay Prince,1_a
The Trip (Feat. Fabienne),Jay Prince,1_a
All You,Jay Prince,1_a
4U / Lately,Jay Prince,1_a
Sam Gellaitry - Temple (Short Stories - Out Now),SOULECTION,1_a
reflectionz,sam gellaitry,1_a
to earth and back,sam gellaitry,1_a
monochrome,sam gellaitry,1_a
the end,sam gellaitry,1_a
Soulection Radio Show #190 w/ Esta,SOULECTION,1_a
Can't Wait(ft. Xavier Omär),esta.,1_a
Esta - Luna,SOULECTION,1_a
Soulection Radio Show #207 (The People's Choice) + A Nujabes Tribute w/ Daddy Kev,SOULECTION,1_a
LETS ESCAPE -ABRAHAM BLUE (   J-LOUIS Remix   ),J-Louis,1_a
SNS (Instrumental),Sángo,1_a
childhood,sam gellaitry,1_a
1hunna (prod. by Zikomo),Waju,1_a
Bahwee x Esta. x Mike Gao - Lounge Burger,HW&W Recordings,1_a
ESTA. X Mike Gao - Katsu Curry,MIKE GAO,1_a
California,starRo,1_a
So Cool (Iman Europe X starRo),starRo,1_a
starRo - Bout You,SOULECTION,1_a
A NIGHT OFF ( J-LOUIS X DREWSTHATDUDE ),J-Louis,1_a
CAMARILLO,J-Louis,1_a
I CANT EXPLAIN IT,J-Louis,1_a
Area Codes (J-Louis X Iamnobodi),J-Louis,1_a
SLANDER & NGHTMRE - YOU ( J-LOUIS REMIX ),J-Louis,1_a
Get Away,esta.,1_a
Sorry Not Sorry,esta.,1_a
starRo - Say It,SOULECTION,1_a
starRo - Can't Get You Out Of My Mind (ft. Alcordo),SOULECTION,1_a
starRo - In Love,SOULECTION,1_a
starRo - Feeling For You,SOULECTION,1_a
See Me At The Penthouse (Fund raising to free Mike.P),starRo,1_a
Iman Europe & starRo - Diggin' On You [TLC Rework]  FREE DL,starRo,1_a
Waiting,starRo,1_a
Seduction (FREE DL),starRo,1_a
Lust,starRo,1_a
Catch Me (ft. JusMoni) -  starRo X Mr. Carmack X Teeko X Mikos Da Gawd,starRo,1_a
Around Midnight - starRo,qetic,1_a
GoldLink - Sober Thoughts (Chris McClenney Remix),HW&W Recordings,1_a
SPZRKT & Sango - The Motive/ Used To The Melody,SOULECTION,1_a
SPZRKT & Sango - Hipster Girl,SOULECTION,1_a
SPZRKT & Sango - Soon Enough,SOULECTION,1_a
SPZRKT & Sango - Winter Toes,SOULECTION,1_a
SPZRKT & Sango -  How Do You Love Me,SOULECTION,1_a
SPZRKT & Sango - JMK,Sángo,1_a
Imprint: 100% Soulection mix by Andre Power,Mixmag,1_a
Oceans ft. Elhae,stwo,1_a
Bryson Tiller-BeenThatWay ( J-Louis Remix ),J-Louis,1_a
Looking Forward,J-Louis,1_a
Papers,Sángo,1_a
Forever (Pt. II) Feat. Kaleem Taylor,SNAKEHIPS,1_a
Snakehips x Tory Lanez - Dímelo #songsfromscratch,SNAKEHIPS,1_a
Gone (feat. Syd),SNAKEHIPS,1_a
Gold,Bondax,1_a
Fetty Wap - Trap Queen [Autolaser & Z.WOODS Remix],Z.WOODS,1_a
Love Saved,Z.WOODS,1_a
Drake - Legend | Z.Woods Unplugged,Z.WOODS,1_a
PYRMDPLAZA X ABRAHAM BLUE - WHATEVER YOU WANT,PYRMDPLAZA,1_a
22 ( J-Louis ),J-Louis,1_a
Soulection Radio Show #212 w/ PYRMDPLAZA,SOULECTION,1_a
J-LOUIS x PYRMDPLAZA,J-Louis,1_a
Tiara Thomas - How It Is (XXYYXX Bootleg),xxyyxx,1_a
Dance On Me,GoldLink,1_a
Acting Like (Prod. by Shlohmo) - Tory Lanez,WEDIDIT COLLECTIVE,1_a
you could bet that,HXNS,1_a
STAY ( J-LOUIS ),J-Louis,1_a
Kehlani - Til The Morning (Snakehips Remix),SNAKEHIPS,1_a
U Got (XXYYXX Remix),SIVIK,1_a
Xavier Omär - Blind Man (Prod. by J-Louis),Never Sleep Music,1_a
Soulchild ( J-Louis ),J-Louis,1_a
Chris McClenney - Tuning Up,SOULECTION,1_a
Chris McClenney - More Love,SOULECTION,1_a
Chris McClenney - All I Want Is You,SOULECTION,1_a
Chris McClenney - Us,SOULECTION,1_a
Light Ray,Evil Needle,1_a
Consciousness,Evil Needle,1_a
Lullaby,Evil Needle,1_a
Heaven In Hell,Evil Needle,1_a
Evil Needle - Past & Present,HW&W Recordings,1_a
Captivate,Evil Needle,1_a
Kehlani - Niggas (Mike Gao Remix),MIKE GAO,1_a
You Should Be Here,Kehlani,1_a
How That Taste,Kehlani,1_a
Jealous (feat. Lexii Alijai),Kehlani,1_a
Wanted,Kehlani,1_a
The Way (feat. Chance the Rapper),Kehlani,1_a
Unconditional,Kehlani,1_a
The Letter,Kehlani,1_a
Runnin' (Interlude),Kehlani,1_a
Be Alright,Kehlani,1_a
Down for You (feat. BJ The Chicago Kid),Kehlani,1_a
Yet,Kehlani,1_a
Bright,Kehlani,1_a
Alive (feat. Coucheron),Kehlani,1_a
I Should Be Dreaming (ft. Josh J.),Zacari,1_a
Down For You (feat. Alina Baraz),Ta-ku,1_a
Realla feat Anderson .Paak,TOKiMONSTA,1_a
Open Air Ft Joyce Wrice,TOKiMONSTA,1_a
Sakamoto's Spring,TOKiMONSTA,1_a
Your highness Ft. Monte Booker,Jarreau Vandal,1_a
B.Y.O.B. ft. my mother,Jarreau Vandal,1_a
Sevdaliza - Clear Air (Jarreau Vandal Remix),Jarreau Vandal,1_a
Soulection Radio Show #215 (Beats 1 Launch),SOULECTION,1_a
Drowning,PYRMDPLAZA,1_a
Cradle,PYRMDPLAZA,1_a
Long Way Home (Prod. by Gravez & Fortune),ELHAE,1_a
Distance ft. Skizzy Mars,Lais,1_a
Good Right Now (Music Video Link Below),Jay Prince,1_a
Eclipse,Zikomo,1_a
Get You Good,Roy Woods,1_a
Drama (Ft. Drake),Roy Woods,1_a
Jaden Smith - Soulection Freestyle (Beat by Mr. Carmack),SOULECTION,1_a
separated,oshi,1_a
Kaytranada & Sango - Voices from Heaven,Sángo,1_a
Owe Me Back,Sángo,1_a
Kaytranada & Sango - Down4U,Sángo,1_a
BB Don't Cry (It's Gon' Be Ok),Sángo,1_a
Sango - Smiles & Frowns,SOULECTION,1_a
Me dê Amor,Sángo,1_a
"Sango x GoldLink - ""Wassup""",Broccoli City,1_a
Louie Lastic - Reactions,SOULECTION,2_a
Louie Lastic - I Need Girls,SOULECTION,2_a
Louie Lastic - Say Yes,SOULECTION,2_a
you could bet that,HXNS,2_a
STAY ( J-LOUIS ),J-Louis,2_a
Kehlani - Til The Morning (Snakehips Remix),SNAKEHIPS,2_a
U Got (XXYYXX Remix),SIVIK,2_a
Xavier Omär - Blind Man (Prod. by J-Louis),Never Sleep Music,2_a
Soulchild ( J-Louis ),J-Louis,2_a
Chris McClenney - Tuning Up,SOULECTION,2_a
Chris McClenney - More Love,SOULECTION,2_a
Chris McClenney - All I Want Is You,SOULECTION,2_a
Chris McClenney - Us,SOULECTION,2_a
Light Ray,Evil Needle,2_a
Consciousness,Evil Needle,2_a
Heaven In Hell,Evil Needle,2_a
Lullaby,Evil Needle,2_a
Evil Needle - Past & Present,HW&W Recordings,2_a
Captivate,Evil Needle,2_a
Kehlani - Niggas (Mike Gao Remix),MIKE GAO,2_a
You Should Be Here,Kehlani,2_a
How That Taste,Kehlani,2_a
Jealous (feat. Lexii Alijai),Kehlani,2_a
Wanted,Kehlani,2_a
The Way (feat. Chance the Rapper),Kehlani,2_a
Unconditional,Kehlani,2_a
The Letter,Kehlani,2_a
Runnin' (Interlude),Kehlani,2_a
Be Alright,Kehlani,2_a
Down for You (feat. BJ The Chicago Kid),Kehlani,2_a
Yet,Kehlani,2_a
Bright,Kehlani,2_a
Alive (feat. Coucheron),Kehlani,2_a
I Should Be Dreaming (ft. Josh J.),Zacari,2_a
Down For You (feat. Alina Baraz),Ta-ku,2_a
Realla feat Anderson .Paak,TOKiMONSTA,2_a
Open Air Ft Joyce Wrice,TOKiMONSTA,2_a
Sakamoto's Spring,TOKiMONSTA,2_a
Your highness Ft. Monte Booker,Jarreau Vandal,2_a
B.Y.O.B. ft. my mother,Jarreau Vandal,2_a
Sevdaliza - Clear Air (Jarreau Vandal Remix),Jarreau Vandal,2_a
Drowning,PYRMDPLAZA,2_a
Cradle,PYRMDPLAZA,2_a
Long Way Home (Prod. by Gravez & Fortune),ELHAE,2_a
Distance ft. Skizzy Mars,Lais,2_a
Good Right Now (Music Video Link Below),Jay Prince,2_a
Eclipse,Zikomo,2_a
Get You Good,Roy Woods,2_a
Jaden Smith - Soulection Freestyle (Beat by Mr. Carmack),SOULECTION,2_a
EOM - Get Along (feat. Anderson .Paak & Blu),EOM703,2_a
Nxworries - Anderson Paak & Knxwledge - Suede,Stones Throw Records,2_a
Phonte - Sendin My Love [Explicit] (Prod Stro Elliot),Stro Elliot,2_a
Kamaal Coltrane,Stro Elliot,2_a
"Sango - Middle Of Things, Beautiful Wife (Feat. SPZRKT)",SOULECTION,2_a
PEARSON x SAM GELLAITRY - ESS,pearson,2_a
RETALIATE (sam gellaitry x connor pearson),sam gellaitry,2_a
Esta. - WhateverUNeed (ft. JBird),HW&W Recordings,2_a
Falcons - Aquafina feat. GoldLink & Chaz French,Fool's Gold Records,2_a
Falcons - Terra,Fool's Gold Records,2_a
PARTYNEXTDOOR ~ Things & Such,partyomo,2_a
Be Alright,Jarreau Vandal,2_a
Queen,jeffbernat,2_a
Talkin Shit (prod @Ohbliv),Gyasi Kamau,2_a
Soulection Radio Show #183 w/ Sam Gellaitry,SOULECTION,2_a
LAKIM w | McClenney - Live From The Dorm (UMD),LAKIM,2_a
Charli XCX - Doing It ft. Rita Ora (Keys N Krates Remix),charlixcx,2_a
I Know U,Keys N Krates,2_a
Save Me (feat. Katy B),Keys N Krates,2_a
Understand Why,Keys N Krates,2_a
Hypnotik,Keys N Krates,2_a
Keys N Krates - Are We Faded,Dim Mak Records,2_a
Yes We Faded,Keys N Krates,2_a
She's So High,Keys N Krates,2_a
I JUST CANT DENY,Keys N Krates,2_a
DUM DEE DUM,Keys N Krates,2_a
RATCHET HOE$,Keys N Krates,2_a
TREAT ME RIGHT,Keys N Krates,2_a
Hotline Bling,esta.,2_a
Dimelo,esta.,2_a
Butterfly - ft. Steffanie Christi'an prod. Kaytranada,Talib Kweli,2_a
What So Not - Gemini Ft. George Maple (Ekali Remix),EKALI,2_a
Denzel Curry - Threatz (Ekali & Gravez Remix),EKALI,2_a
