track_id,artists,trackname,album,name_of_playlist
1s16yZ0cyNAJJT1iUVMwam,Niteflyte,If You Want It,Niteflyte,FUNKSOULJAZZ
3Y4BYpeNqYeW71jNgtN5k3,Devon Russell,Give Me Your Love,Darker Than Blue,FUNKSOULJAZZ
4Gt8xHGDS9ijfolaFFOJrm,Deniece Williams,How'd I Know That Love Would Slip Away,This Is Niecy (Expanded Edition),FUNKSOULJAZZ
0DEwNI2DgasX1eprqCivJk,Ray Parker Jr.,A Woman Needs Love (Just Like You Do),A Woman Needs Love (Expanded Edition),FUNKSOULJAZZ
3vQfZziawmjCOluun8E9gA,The Jacksons,This Place Hotel (a.k.a. Heartbreak Hotel),The Very Best Of The Jacksons and Jackson 5,FUNKSOULJAZZ
7x3N0MXK6cAuKEXHNqCUgp,Lee Fields & The Expressions,Do You Love Me (Like You Say You Do),My World,FUNKSOULJAZZ
0cHpAkyEPpVMG0ezgicYMf,Lee Fields & The Expressions,Love Comes And Goes,My World,FUNKSOULJAZZ
1emxi7e5EWFsJmwSKTuUDH,Lee Fields & The Expressions,Honey Dove,My World,FUNKSOULJAZZ
599GElAfHgqdjSmATCr6lI,Lee Fields & The Expressions,Money I$ King,My World,FUNKSOULJAZZ
3FKAmkd0dUQow94t7y06mq,Lee Fields & The Expressions,Expressions Theme,My World,FUNKSOULJAZZ
5j9jScO7liRScaGXj5PhV5,Lee Fields & The Expressions,My World,My World,FUNKSOULJAZZ
6iNHWlOLt4NuDi9iSvtznO,Lee Fields & The Expressions,Ladies,My World,FUNKSOULJAZZ
2LqdWZQpKh4bxFHxEBi57q,Lee Fields & The Expressions,These Moments,My World,FUNKSOULJAZZ
196pDURyPeC8QEiu5x1KYT,Lee Fields & The Expressions,The Only One Loving You,My World,FUNKSOULJAZZ
5DrDxikPonrTWu6MqfF3Z6,Lee Fields & The Expressions,Last Ride,My World,FUNKSOULJAZZ
0nbOXVxcq4wSPamBPxAKGu,Nina Simone,Feeling Good,The Very Best Of,FUNKSOULJAZZ
69e17d31VYOmiRYJ9Fq2ZE,Nina Simone,I Put a Spell On You,The Very Best Of,FUNKSOULJAZZ
6xEg0lNce24BEPjCjqy5JB,Jocelyn Brown,Somebody Else's Guy,Somebody Else's Guy,FUNKSOULJAZZ
3SHKFKCccGc2gZkI7G1hMZ,Gwen McCrae,Funky Sensation,Funky Sensation (MAW Mix),FUNKSOULJAZZ
6uUjQKZ7v1X6HQk6A9GtgE,Uncle Louie,I Like Funky Music,Uncle Louie's Here,FUNKSOULJAZZ
5VjqjDwBKAUWLdkyBzqzhu,Sunlightsquare Latin Combo,I Believe In Miracles,Havana Central,FUNKSOULJAZZ
2ZfzxkljZ44ifATwboIU8Y,Trüby Trio,Universal Love,Elevator Music,FUNKSOULJAZZ
0nlZjTPzW6S9JIESuGfImT,Boz Scaggs,Lowdown,Silk Degrees,FUNKSOULJAZZ
7yxTWOioiqEW5ndGLmKk9n,Joe Thomas,Polarizer,Feelin's From Within,FUNKSOULJAZZ
4gHi9aErjNEqq8KoaZJUzO,CADEJO,A Place in Sun,FREEBODY,FUNKSOULJAZZ
6YnqSlVQ9smhqAg8dEheAY,"Evelyn ""Champagne"" King",If You Want My Lovin',I'm In Love (Expanded Edition),FUNKSOULJAZZ
2quj0lAmQxytVLVR1LYQYV,TOWA TEI,TECHNOVA,FUTURE LISTENING!,FUNKSOULJAZZ
2DjsMSPTnbrnseudsaiNQG,Calibro 35,Calling All Units to Broccolino,Ritornano Quelli Di...,FUNKSOULJAZZ
5pT1UzzwpzFpRJGJI4z0qi,lighthouse,One Fine Morning,One Fine Morning,FUNKSOULJAZZ
3QxAadrRx8aSEVd6Qzr8KF,Stan Getz,Saudade Vem Correndo,Jazz Samba Encore!,FUNKSOULJAZZ
7Ig2C5U7zfGGRar7lH1skV,Average White Band,Stop the Rain,Feel No Fret...And More,FUNKSOULJAZZ
5voWjUklIhjnNQU5aZCIm4,The Blackbyrds,Dreaming About You,Action,FUNKSOULJAZZ
6lqYjlQyDzNWE0MGc78b4c,The Blackbyrds,Mysterious Vibes,Action,FUNKSOULJAZZ
4ve6EIeYYa8tco68bUVcBm,Jeff Lorber Fusion,Rain Dance/Wanna Fly,Now Is The Time,FUNKSOULJAZZ
